	7	6	5	4	3	2	1	0		A	B	C	D	E	F		a	b	c	d	e	f			0
ú	1	0	1	0	0	0	1	1		X	X	X	X	X	X		0	1	1	1	1	1			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
<<	1	0	1	0	1	1	1	0		0	0	0	0	0	1		0	1	1	0	0	1			
>>	1	0	1	0	1	1	1	1		0	0	0	0	0	1		0	1	1	0	0	1			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
Á	1	0	1	1	0	1	0	1		0	0	0	1	0	1		1	1	1	0	1	1			
Â	1	0	1	1	0	1	1	0		0	0	0	1	0	1		1	0	0	0	0	1			
À	1	0	1	1	0	1	1	1		0	0	0	1	0	1		1	1	0	1	0	1			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
ã	1	1	0	0	0	1	1	0		X	X	X	X	X	X		0	0	1	1	1	0			
Ã	1	1	0	0	0	1	1	1		0	0	0	1	0	1		0	0	1	1	1	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
Ê	1	1	0	1	0	0	1	0		0	0	0	1	0	1		1	1	0	0	0	1			
																	0	0	0	0	0	0			
È	1	1	0	1	0	1	0	0		0	0	0	1	0	1		0	1	1	1	0	1			
																	0	0	0	0	0	0			
Í	1	1	0	1	0	1	1	0		0	0	0	1	0	1		0	0	1	1	0	0			
																	0	0	0	0	0	0			
Ï	1	1	0	1	1	0	0	0		0	0	0	1	0	1		1	1	0	1	1	1			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
Ì	1	1	0	1	1	1	1	0		0	0	0	1	0	1		1	0	0	1	0	1			
																	0	0	0	0	0	0			
Ó	1	1	1	0	0	0	0	0		0	0	0	1	0	1		0	0	1	1	0	1			
																	0	0	0	0	0	0			
Ô	1	1	1	0	0	0	1	0		X	X	X	X	X	X		1	0	0	1	1	1			
Ò	1	1	1	0	0	0	1	1		0	0	0	1	0	1		0	1	0	1	1	1			
õ	1	1	1	0	0	1	0	0		X	X	X	X	X	X		0	1	0	1	0	1			
Õ	1	1	1	0	0	1	0	1		0	0	0	1	0	1		0	1	0	1	0	1			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
Ú	1	1	1	0	1	0	0	1		0	0	0	1	0	1		0	1	1	1	1	1			
																	0	0	0	0	0	0			
Ù	1	1	1	0	1	0	1	1		0	0	0	1	0	1		1	0	0	0	1	1			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
																	0	0	0	0	0	0			
§	1	1	1	1	0	1	0	1		0	1	1	1	0	0		0	1	1	1	0	0			
